arm,seed,kind,mean,std
random,0,intrinsic,0.0,0.0
random,0,task_conditioned,0.4000448167095912,0.23946715982795963
llm_open_loop,0,intrinsic,0.0,0.0
llm_open_loop,0,task_conditioned,0.3525933585193894,0.2328177309507028
llm_closed_loop,0,intrinsic,8.881784197001252e-16,0.0
llm_closed_loop,0,task_conditioned,0.3692588998520759,0.2576518778209264
random,1,intrinsic,6.94999613415348e-16,3.710936029471547e-16
random,1,task_conditioned,0.5828390653967777,0.125823596486034
llm_open_loop,1,intrinsic,8.770761894538737e-17,3.5101136739291273e-16
llm_open_loop,1,task_conditioned,0.25280107413425396,0.2336857313620767
llm_closed_loop,1,intrinsic,0.1570631999776565,0.19205485706148653
llm_closed_loop,1,task_conditioned,0.38499686073785255,0.23007853223930977
random,2,intrinsic,4.773959005888173e-17,5.664868786200994e-16
random,2,task_conditioned,0.3539096070298457,0.2007571456290404
llm_open_loop,2,intrinsic,1.021405182655144e-16,4.3897493962965885e-16
llm_open_loop,2,task_conditioned,0.2845646340437031,0.21802374840300964
llm_closed_loop,2,intrinsic,6.628031457012184e-16,5.055978082841187e-16
llm_closed_loop,2,task_conditioned,0.300502342027096,0.2375715633617177
